X,Y,Z,YAW,PITCH,ANGLE_X,ANGLE_Y,W,A,S,D,SPRINT,SNEAK,JUMP,LMB,RMB,VEL_X,VEL_Y,VEL_Z
-3361.516139366051,74.5,422.4655114208218,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.02670429977661115, -0.1040803780930446, 0.21365958472028979
-3361.491838452554,74.91999998688698,422.9873416325228,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.024300913496972498, 0.41999998688697815, 0.5218302117010012
-3361.4785701522433,75.2531999805212,423.29774095964524,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.013268300310755876, 0.33319999363422426, 0.31039932712241125
-3361.4664959986126,75.50133597911214,423.6056843539067,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.012074153630692308, 0.24813599859093927, 0.30794339426148554
-3361.455508518492,75.66610926093821,423.91139284920035,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.010987480120547843, 0.1647732818260721, 0.3057084952936293
-3361.4455099112943,75.74918707874468,424.21506758637463,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.009998607197758247, 0.08307781780646906, 0.3036747371742763
-3361.436411178482,75.74918707874468,424.516891603607,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.00909873281216278, 0.0, 0.3018240172323772
-3361.4281313313845,75.6707870772188,424.81703146564365,0.0,50.0,0.0,0.0,true,false,false,false,true,false,true,false,false, 0.008279847097583115, -0.07840000152587834, 0.30013986203664444
-3361.4205966703084,75.5155550727022,425.115638746408,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.007534661076078919, -0.15523200451660557, 0.29860728076437226
-3361.4137401285316,75.28502770378924,425.4128513781744,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.0068565417768695625, -0.23052736891295922, 0.2972126317663992
-3361.4075006753346,74.9807108763317,425.70879487931614,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.006239453196940303, -0.30431682745754074, 0.2959435011417213
-3361.401822772762,74.60408037809304,426.00358347155606,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.005677902572642779, -0.37663049823865435, 0.29478859223991094
-3361.3966558812717,74.15658248110962,426.01249998807907,0.0,50.0,0.0,0.0,true,false,false,false,false,false,true,false,false, 0.00516689149026206, -0.44749789698342113, 0.008916516523015616
-3361.3966558812717,73.63963453200465,426.01249998807907,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.5169479491049742, 0.0
-3361.3966558812717,73.0546255304959,426.01249998807907,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.5850090015087517, 0.0
-3361.3966558812717,72.40291669633328,426.01249998807907,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.6517088341626192, 0.0
-3361.3966558812717,71.68584202489768,426.01249998807907,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.7170746714355971, 0.0
-3361.3966558812717,70.9047088316878,426.01837998861447,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.7811331932098824, 0.005880000535398722
-3361.3966558812717,70.0607982859173,426.02961078979126,0.0,50.0,0.0,0.0,true,false,false,false,false,true,true,false,false, 0.0, -0.8439105457704983, 0.011230801176793648
-3361.3966558812717,69.15536593344002,426.0398308191567,0.0,50.0,0.0,0.0,false,false,false,false,false,true,false,false,false, 0.0, -0.9054323524772769, 0.010220029365427763
-3361.3966558812717,68.18964220921666,426.0491310461473,0.0,50.0,0.0,0.0,false,false,false,false,false,true,false,false,false, 0.0, -0.9657237242233663, 0.009300226990603733
-3361.3966558812717,67.16483293953216,426.05759425295264,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,true, 0.0, -1.0248092696844964, 0.00846320680534518
-3361.3966558812717,66.0821198341688,426.06529577136746,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,true, 0.0, -1.0827131053633678, 0.007701518414819475
-3361.3966558812717,65.5,426.0723041533269,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, -0.5821198341687932, 0.007008381959451526
-3361.3966558812717,65.5,426.07868178109385,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.006377627766937621
-3361.3966558812717,65.5,426.07868178109385,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3361.3966558812717,65.5,426.07868178109385,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3361.3966558812717,65.5,426.07868178109385,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.5,422.17315,0.0,50.0,0.0,0.0,false,false,false,false,false,false,false,false,false, 0.0, 0.0, 0.0
-3362.1,74.91999998688698,422.0751500100136,0.0,50.0,0.0,0.0,false,false,true,false,false,false,true,false,false, 0.0, 0.41999998688697815, -0.09799998998641968
-3362.1,75.2531999805212,422.00204200903346,0.0,50.0,0.0,0.0,false,false,true,false,false,false,true,false,false, 0.0, 0.33319999363422426, -0.0731080009801417
-3362.1,75.50133597911214,421.91591372599174,0.0,50.0,0.0,0.0,false,false,true,false,false,false,true,false,false, 0.0, 0.24813599859093927, -0.08612828304171671
-3362.1,75.66610926093821,421.81793698593253,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, 0.1647732818260721, -0.09797674005920953
-3362.1,75.74918707874468,421.70917814967663,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, 0.08307781780646906, -0.10875883625590177
-3362.1,75.74918707874468,421.590607605599,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, 0.0, -0.11857054407761325
-3362.1,75.6707870772188,421.46310840714625,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.07840000152587834, -0.12749919845276736
-3362.1,75.5155550727022,421.327484132978,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.15523200451660557, -0.13562427416826495
-3362.1,75.28502770378924,421.1844660396955,0.0,50.0,0.0,0.0,false,false,true,false,false,false,false,false,false, 0.0, -0.23052736891295922, -0.14301809328247828
